structure,t,p,coef,delta_walking_mm3,delta_control_mm3,n,q
Right-Amygdala,3.013708037056797,0.002580760339590601,59.30835536250263,17.35150000000002,-34.49203448275863,107,0.025807603395906008
Right-Thalamus,2.517207667417291,0.011828908556697276,113.79768781983005,11.086374999999938,-74.52968965517248,107,0.03183150114924498
Left-Thalamus,2.435746357860215,0.014861101056934275,118.60888629467283,22.306249999999938,-64.05044827586218,107,0.03183150114924498
Left-Hippocampus,2.389230575174632,0.01688370240817393,59.322853290804524,18.671374999999994,-30.015965517241337,107,0.03183150114924498
Right-Putamen,2.315616446396857,0.02057922006451393,141.3176333851833,61.58637499999992,-60.15503448275867,107,0.03183150114924498
Left-Putamen,2.3040583085391777,0.02121937066881701,137.59577385602466,46.32445833333323,-68.93124137931036,107,0.03183150114924498
Right-Hippocampus,2.285525195246428,0.02228205080447149,68.38361519911189,0.5875416666666903,-54.78958620689657,107,0.03183150114924498
Left-Amygdala,-0.5421911809562462,0.5876868100162627,-15.992208454156232,-31.775374999999993,-6.371689655172414,107,0.7346085125203283
Right-Caudate,-0.37513751704290754,0.7075581964660793,-16.124227647051075,5.744499999999941,29.225413793103424,107,0.7861757738511993
Left-Caudate,-0.0735162332721629,0.941395326745386,-2.6715327857125155,23.742458333333406,31.977689655172384,107,0.941395326745386
