estimator,metric,region,t,p,partial_eta2,n,mean_delta_walking,mean_delta_control,q
partial,roi_to_wholebrain_z,Motor_L,-3.2454073161883703,0.0011728273596214465,0.1114182937878512,88,-6.34177702849379e-05,7.537154104904744e-05,0.0012094782146096167
partial_9block,between_network_z,Vis--SomMot,-2.659754920862023,0.007819752905629281,0.07767610106457803,88,-0.11886974328622626,0.12185361330934597,0.009624311268466808
partial,roi_to_network_z,Motor_L--SomMot,-2.6141029225563632,0.008946208235430688,0.07523140168660762,88,-1.848093126192822e-05,0.0005219641283970636,0.02952248717692127
partial_9block,between_network_z,Cont--Vis,-2.5247335580548613,0.011578603772981236,0.07053200945746668,88,-0.016397100353819194,0.16799928093407185,0.011578603772981236
partial,roi_to_network_z,Motor_R--Default,-2.1556224799488084,0.0311131557479095,0.052418283390625466,88,-7.233758298271295e-05,0.0001713113871795961,0.046669733621864246
spearman,roi_to_network_z,Hippocampus_L--Default,2.0680018516395244,0.038639848981929716,0.048445795654441556,88,0.07181118997631925,-0.038341217962836516,0.23890663021846978
partial,roi_to_wholebrain_z,DLPFC_R,-1.9138313684215449,0.05564170602133137,0.04178229048918644,88,-7.42808283690059e-05,4.169251999170233e-05,0.14358366451659346
spearman,between_network_z,Cont--Cerebellum,-1.6182007846029565,0.10561933383697937,0.030231088611109427,88,-0.03109294122306941,0.05235226917802152,0.23890663021846978
pearson,within_network_z,Cont,-1.61562020113673,0.10617645354159613,0.030137648583538446,88,-0.01155200009351004,0.05828420158340658,0.1632667462933413
partial_9block,between_network_z,Vis--SalVentAttn,1.538318086183736,0.12397085966336792,0.027399798033092403,88,0.05722322147055887,-0.07045497025445419,0.28336196494484095
partial_9block,between_network_z,SalVentAttn--Vis,1.538318086183729,0.12397085966336967,0.027399798033092157,88,0.05722322147055888,-0.07045497025445407,0.4591300695921939
partial,mean_strength,SalVentAttn,-1.4625751593941936,0.14358366451659346,0.024833385173552467,88,-0.05482943186900968,-0.016398599532563285,0.14358366451659346
pearson,roi_to_network_z,Hippocampus_R--Default,1.4569651633707579,0.14512599670519227,0.024647930415708116,88,0.05181336210705678,-0.03160375681720479,0.1632667462933413
pearson,within_network_z,DorsAttn,-1.4375304836523668,0.15056731750481817,0.02401043423514643,88,-0.035522193704148664,0.031736937588893066,0.33877646438584086
partial,mean_clustering,SalVentAttn,-1.4037825025714346,0.16038362590281396,0.022921849942968395,88,-8.932223576467706e-05,-2.2602513936057812e-05,0.23751169856181395
partial,between_network_z,SomMot--Limbic,1.4018178064305127,0.16096965974727817,0.02285919889265674,88,4.7733431796962496e-05,-0.0001844087482762526,0.23751169856181395
